Request ID,Num Clients,Bottleneck Bandwidth,Bottleneck Latency,Bottleneck Packet Loss,Dash Policy,Client Resolution,Request Duration,TCP Output Packet,TCP Output Delay,TCP Output Jitter,TCP Output Packet Loss,TCP Input Packet,TCP Input Delay,TCP Input Jitter,TCP Input Packet Loss,TCP Input Retransmission,Std Input Rate,0 Input Rate Variation,5 Input Rate Variation,10 Input Rate Variation,25 Input Rate Variation,50 Input Rate Variation,75 Input Rate Variation,90 Input Rate Variation,95 Input Rate Variation,100 Input Rate Variation,Std Inter Arrival Times Req,0 Inter Arrival Times Req,5 Inter Arrival Times Req,10 Inter Arrival Times Req,25 Inter Arrival Times Req,50 Inter Arrival Times Req,75 Inter Arrival Times Req,90 Inter Arrival Times Req,95 Inter Arrival Times Req,100 Inter Arrival Times Req,Start Up Delay,Avg Video Download Rate,Std Video Download Rate,Avg Video Buffer Level,Std Video Buffer Level,Stall Events,Rebuffering Ratio,Stall Label,Total Stalling Time,Avg Time Stalling Events,Avg Quality Index,Avg Video Bit Rate,Avg Video Quality Variation,Avg Download Bit Rate
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,4728,21.0186,0.00131295,0.0190355,8030,21.8711,0.380735,0.0220423,5,119074.0,,66691,66691,106929,248986,330069,371846,418444,431506,717556,1.34847,0.300377,0.300377,0.304597,0.559974,1.32523,2.07236,3.61719,4.34735,5.32744,1313,1359730.0,533093.0,12.2286,5.14413,0,0.0,NoStalling,0,0.0,0.5,1143220.0,63698.8,1359730.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,4549,21.0187,0.00151483,0.0193449,7863,21.8904,0.388255,0.0216202,4,133213.0,,2376,2376,68378,194702,303468,364305,438638,480746,578030,1.21744,0.260143,0.301219,0.342747,0.557783,1.28614,2.14367,3.3977,3.46736,5.4849,1525,1229340.0,443809.0,11.7143,4.73631,0,0.0,NoStalling,0,0.0,0.6,823003.0,106767.0,1229340.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,5379,21.0185,0.00119818,0.0191485,9304,21.9138,0.387978,0.0183792,15,115048.0,,1560,1560,225060,287496,351066,432378,487872,511044,620138,1.24299,0.25959,0.259661,0.342942,0.519303,1.11406,2.78302,3.55807,3.60137,4.15455,1189,1586620.0,430295.0,10.5714,4.10077,0,0.0,NoStalling,0,0.0,0.564286,1170290.0,132367.0,1586620.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,5316,21.0185,0.00117238,0.0233258,9081,21.8997,0.38355,0.01839,9,168658.0,,1452,1452,17424,258590,324930,435734,513690,580482,631302,1.22328,0.300713,0.300713,0.387636,0.648938,1.50414,2.22899,2.95594,4.6096,5.18264,2688,1456320.0,497642.0,11.8824,4.57464,0,0.0,NoStalling,0,0.0,0.522059,1271270.0,105968.0,1456320.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,5126,21.0185,0.00118915,0.0189231,8735,21.9058,0.384035,0.0207212,9,102238.0,,56,56,232454,284726,346686,403790,454610,467678,530114,1.02966,0.257784,0.257784,0.260927,0.387637,1.97046,2.6233,2.93538,3.07827,3.2609,1889,1470670.0,350108.0,10.8,3.70945,0,0.0,NoStalling,0,0.0,0.714286,1186380.0,45628.2,1470670.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,4838,21.0186,0.00129424,0.0190161,8170,21.9607,0.38273,0.0200734,17,131920.0,,50820,50820,111796,245522,310862,413673,482198,521402,551894,1.11453,0.130123,0.130123,0.217005,0.472862,1.75542,2.55081,2.92403,3.65734,4.84469,746,1528630.0,664063.0,12.9143,3.95237,0,0.0,NoStalling,0,0.0,0.621429,1010400.0,45628.2,1528630.0
51,122400000,21,0.02,BufferBasedAdaptationLogic,1280720,70,5218,21.0185,0.0012375,0.0162898,8823,21.947,0.378639,0.0200612,20,147097.0,,24156,24156,125058,249426,314766,390270,482198,496584,890872,1.20617,0.301526,0.343518,0.343823,0.599827,1.4198,1.92645,3.38535,3.8061,4.51411,2187,1568330.0,847835.0,10.5294,4.53247,0,0.0,NoStalling,0,0.0,0.514706,1168410.0,105968.0,1568330.0
51,122400000,31,0.0,BufferBasedAdaptationLogic,1280720,70,6407,31.0184,0.000985838,0.0,12124,70.3781,0.604927,0.00791818,17,175226.0,,56,56,106089,373472,463188,546886,666150,765810,803276,1.17013,0.094818,0.114361,0.179527,0.519994,1.44766,2.68498,2.90058,3.1504,4.8207,1135,2325180.0,894353.0,11.4286,4.15614,0,0.0,NoStalling,0,0.0,0.571429,1655950.0,142005.0,2325180.0
51,122400000,31,0.0,BufferBasedAdaptationLogic,1280720,70,9300,31.0182,0.000623276,0.0,17560,71.304,0.547334,0.00808656,22,334970.0,,34956,34956,276400,466627,658291,881899,1085578,1298623,1549819,1.35845,0.08507,0.08507,0.109509,0.180839,1.59558,2.61699,3.73638,4.05802,4.72192,908,3558600.0,1368390.0,11.9429,5.70685,0,0.0,NoStalling,0,0.0,0.542857,2598770.0,122428.0,3558600.0
51,122400000,31,0.0,BufferBasedAdaptationLogic,1280720,70,7977,31.0183,0.000788232,0.0,15039,71.2487,0.560428,0.00465456,6,269388.0,,21888,21888,320892,416724,519816,824736,975226,1002415,1151971,1.438,0.160183,0.199593,0.271852,0.499043,1.00247,2.43606,3.6797,3.94303,6.15372,923,2373720.0,941485.0,12.2286,5.14413,0,0.0,NoStalling,0,0.0,0.55,2006600.0,229346.0,2373720.0
