Request ID,Num Clients,Bottleneck Bandwidth,Bottleneck Latency,Bottleneck Packet Loss,Dash Policy,Client Resolution,Request Duration,TCP Output Packet,TCP Output Delay,TCP Output Jitter,TCP Output Packet Loss,TCP Input Packet,TCP Input Delay,TCP Input Jitter,TCP Input Packet Loss,TCP Input Retransmission,Std Input Rate,0 Input Rate Variation,5 Input Rate Variation,10 Input Rate Variation,25 Input Rate Variation,50 Input Rate Variation,75 Input Rate Variation,90 Input Rate Variation,95 Input Rate Variation,100 Input Rate Variation,Std Inter Arrival Times Req,0 Inter Arrival Times Req,5 Inter Arrival Times Req,10 Inter Arrival Times Req,25 Inter Arrival Times Req,50 Inter Arrival Times Req,75 Inter Arrival Times Req,90 Inter Arrival Times Req,95 Inter Arrival Times Req,100 Inter Arrival Times Req,Start Up Delay,Avg Video Download Rate,Std Video Download Rate,Avg Video Buffer Level,Std Video Buffer Level,Stall Events,Rebuffering Ratio,Stall Label,Total Stalling Time,Avg Time Stalling Events,Avg Quality Index,Avg Video Bit Rate,Avg Video Quality Variation,Avg Download Bit Rate
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,640360,70,14168,11.0159,0.000420819,0.0109401,25514,12.0689,0.393472,0.00917144,2,276227.0,,1560,1560,753070,896819,981034,1155274,1293214,1341130,1684736,0.611385,0.055717,0.400004,0.86719,1.10392,1.4449,1.9641,2.17635,2.48122,2.83487,687,4459940.0,1478440.0,12.6286,4.13408,0,0.0,NoStalling,0,0.0,0.807143,3067170.0,736828.0,4459940.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,640360,70,14932,11.0158,0.00040513,0.011318,26632,12.0593,0.389739,0.00904926,14,276406.0,,43668,43668,693738,886255,1095743,1228927,1374208,1427851,1448579,0.762799,0.183631,0.254906,0.38859,1.09247,1.37735,2.02966,2.65369,2.75899,3.09269,674,4360550.0,1221720.0,12.2286,3.99346,0,0.0,NoStalling,0,0.0,0.75,3091160.0,1001860.0,4360550.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,640360,70,13539,11.0159,0.000449577,0.00901101,24064,12.0477,0.392011,0.0106383,6,309958.0,,1560,1560,441024,814572,972322,1072644,1201220,1383773,1423428,0.76488,0.076015,0.246509,0.414546,0.983242,1.32777,1.99,2.31745,2.76533,3.59849,489,4336480.0,2102300.0,12.4,4.32402,0,0.0,NoStalling,0,0.0,0.707143,2695610.0,891934.0,4336480.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,640360,70,12975,11.0159,0.000460755,0.00971098,23062,12.0508,0.389888,0.0105368,2,303647.0,,113248,113248,355212,775636,924288,1061429,1210503,1314476,1650606,0.62528,0.185415,0.299328,0.784422,1.07001,1.46842,1.79053,2.15302,2.50444,3.40224,720,3533110.0,1029510.0,13.6571,4.74458,0,0.0,NoStalling,0,0.0,0.764286,2556490.0,626899.0,3533110.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,640360,70,12615,11.0159,0.000469905,0.00998811,22290,12.0735,0.389709,0.0111709,13,286133.0,,32052,32052,458832,768108,870682,1092320,1178107,1256396,1403448,0.716475,0.047053,0.483499,0.735393,1.03356,1.4621,1.78851,2.40955,2.67205,3.66242,1486,3846690.0,1788360.0,12.6857,4.24783,0,0.0,NoStalling,0,0.0,0.792857,2549170.0,1049450.0,3846690.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,12949,11.0159,0.000449154,0.00988493,23163,12.0448,0.389897,0.00988646,5,355279.0,,1452,1452,371328,750167,963744,1171446,1268530,1371104,1633200,0.952141,0.055662,0.351642,0.597173,1.07199,1.45606,1.69576,2.36391,2.57717,6.36259,485,4397720.0,1705730.0,12.1714,4.39146,0,0.0,NoStalling,0,0.0,0.764286,2768750.0,709722.0,4397720.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,12683,11.0159,0.000480271,0.00961918,22554,12.0747,0.393125,0.0104194,12,295106.0,,276415,276415,416206,671359,904078,1044523,1257382,1404500,1447662,0.860763,0.073097,0.304169,0.626744,0.918802,1.40071,1.92802,2.47244,2.7226,4.57438,485,4001330.0,1972220.0,12.5714,4.29142,0,0.0,NoStalling,0,0.0,0.721429,2508360.0,1176550.0,4001330.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,13592,11.0159,0.000456006,0.00949088,24445,12.0135,0.390646,0.0101043,14,258793.0,,1560,1560,638939,903679,999392,1129138,1213354,1332953,1412855,0.59841,0.27461,0.276123,0.484351,1.22805,1.4797,1.67147,2.26345,2.38629,3.02175,708,3630970.0,887492.0,14.3429,5.13778,0,0.0,NoStalling,0,0.0,0.835714,2547712.0,459144.0,3630970.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,14214,11.0159,0.0004195,0.00970874,25411,12.0434,0.38962,0.00968085,13,307595.0,,1560,1560,566687,835302,962158,1223852,1288459,1436563,1643881,0.806059,0.210455,0.274665,0.474923,0.87805,1.54238,1.92834,2.51567,2.5908,3.45796,710,4290140.0,1553950.0,12.6286,3.90667,0,0.0,NoStalling,0,0.0,0.728571,2897770.0,1229250.0,4290140.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,12410,11.0159,0.000470761,0.00910556,22387,12.0289,0.393175,0.0104525,4,358605.0,,1452,1452,251731,728386,966196,1134946,1248202,1327744,1533928,0.921915,0.18743,0.365663,0.458425,1.06291,1.40716,1.82342,2.33546,2.60957,5.39656,789,3952090.0,1002770.0,12.9714,4.09519,0,0.0,NoStalling,0,0.0,0.778571,2737152.0,804593.0,3952090.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,12786,11.0159,0.000464852,0.0100892,22243,12.1237,0.387571,0.0110597,7,273070.0,,154447,154447,381876,733795,899204,1056538,1201862,1210584,1303578,0.841011,0.184928,0.28345,0.460425,0.849735,1.48895,2.10472,2.57895,3.0594,3.25391,626,3726400.0,1205880.0,12.6857,3.73226,0,0.0,NoStalling,0,0.0,0.714286,2561320.0,953675.0,3726400.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,13796,11.0159,0.000434197,0.00920557,24885,12.03,0.392661,0.00912196,3,313040.0,,63888,63888,449081,811864,976279,1211503,1336775,1355332,1444222,0.654022,0.185761,0.522789,0.813574,1.03958,1.47386,2.00281,2.38456,2.65053,3.28591,1487,3899420.0,1358310.0,12.9714,4.39146,0,0.0,NoStalling,0,0.0,0.7,2991250.0,887416.0,3899420.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,13786,11.0159,0.000435329,0.0113158,24390,12.1699,0.391016,0.0100451,5,238271.0,,541984,541984,577896,782110,941312,1160165,1261470,1280028,1439866,0.754742,0.055454,0.213428,0.577518,1.0753,1.42081,1.97075,2.502,2.82246,3.31065,486,4693660.0,2593180.0,12.1714,4.15063,0,0.0,NoStalling,0,0.0,0.721429,2931130.0,1122330.0,4693660.0
81,348300000,11,0.01,RateAndBufferBasedAdaptationLogic,19201080,70,13515,11.0159,0.000442459,0.0113208,24081,12.0641,0.389989,0.00975873,5,309554.0,,56,56,540908,791022,937474,1088083,1292476,1375460,1727362,0.658168,0.162105,0.251038,0.526076,1.0144,1.48365,1.97602,2.29814,2.45093,2.79982,1649,4270721.0,1213470.0,13.7143,4.41149,0,0.0,NoStalling,0,0.0,0.8,2899240.0,842240.0,4270721.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13320,11.0158,0.000401095,0.00990991,23686,12.0458,0.389181,0.00924597,4,383543.0,,49267,49267,424918,685879,986842,1136979,1327663,1432607,1944245,0.695916,0.298873,0.298873,0.737186,1.25625,1.60285,2.04424,2.62814,3.01876,3.50122,2807,3988740.0,1551030.0,5.88235,2.60954,0,0.0,NoStalling,0,0.0,0.705882,3167470.0,740538.0,3988740.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12431,11.0158,0.000398165,0.00933151,22201,12.0319,0.390357,0.0111707,6,257448.0,,293839,293839,439039,735688,887707,1015165,1136398,1208599,1503236,0.840416,0.145754,0.145754,0.879596,1.3256,1.65678,2.46238,2.95788,3.10156,3.96328,585,3968880.0,1581730.0,0.764706,1.08625,2,0.0314286,MildStalling,2200,66.6667,0.808824,3359620.0,1349820.0,3968880.0
